,Date,Mid,Volume
3550,2000-06-28,1459.0900000000001,1095100000.0
1038,2000-06-29,1444.8850000000002,1110900000.0
3786,2000-06-30,1446.69505,1459700000.0
2927,2000-07-03,1460.215,451900000.0
2928,2000-07-05,1455.995,1019300000.0
2929,2000-07-06,1450.6050500000001,947300000.0
2930,2000-07-07,1470.395,931700000.0
3247,2000-07-10,1480.66005,838700000.0
3246,2000-07-11,1479.625,980500000.0
654,2000-07-12,1489.2849500000002,1001200000.0
2988,2000-07-13,1495.52,1026800000.0
2329,2000-07-14,1502.27505,960600000.0
2931,2000-07-17,1511.2899499999999,906000000.0
675,2000-07-18,1500.92,908300000.0
3252,2000-07-19,1487.775,909400000.0
2997,2000-07-20,1491.94,1064600000.0
3626,2000-07-21,1486.7399500000001,968300000.0
23,2000-07-24,1474.8400000000001,880300000.0
3630,2000-07-25,1470.26,969400000.0
3627,2000-07-26,1463.4450000000002,1235800000.0
3628,2000-07-27,1455.12,1156400000.0
3622,2000-07-28,1435.28505,980000000.0
4227,2000-07-31,1428.18,952600000.0
85,2000-08-01,1436.25,938700000.0
2536,2000-08-02,1442.54,994500000.0
2535,2000-08-03,1439.81,1095600000.0
841,2000-08-04,1457.1201,956000000.0
1924,2000-08-07,1470.76,854800000.0
2113,2000-08-08,1478.565,992200000.0
2102,2000-08-09,1480.745,1054000000.0
2192,2000-08-10,1467.52,940800000.0
3572,2000-08-11,1464.39005,835500000.0
2190,2000-08-14,1480.10005,783800000.0
2191,2000-08-15,1487.9299999999998,895900000.0
3548,2000-08-16,1485.915,929800000.0
2189,2000-08-17,1489.58495,922400000.0
2206,2000-08-18,1494.23,821400000.0
2677,2000-08-21,1496.9850000000001,731600000.0
1843,2000-08-22,1502.935,818800000.0
1560,2000-08-23,1498.3600000000001,871000000.0
1584,2000-08-24,1506.205,837100000.0
1581,2000-08-25,1509.28,685600000.0
1595,2000-08-28,1515.2,733600000.0
1593,2000-08-29,1510.1350499999999,795600000.0
3150,2000-08-30,1505.29,818400000.0
3173,2000-08-31,1513.9,1056600000.0
4454,2000-09-01,1522.81,767700000.0
4457,2000-09-05,1512.49,838500000.0
4455,2000-09-06,1502.3649999999998,995100000.0
3431,2000-09-07,1498.795,985500000.0
4450,2000-09-08,1496.1950000000002,961000000.0
716,2000-09-11,1494.885,899300000.0
125,2000-09-12,1488.30005,991200000.0
124,2000-09-13,1480.53,1068300000.0
24,2000-09-14,1485.4450000000002,1014000000.0
5,2000-09-15,1470.5900000000001,1268400000.0
693,2000-09-18,1454.845,962500000.0
1242,2000-09-19,1452.835,1024900000.0
3829,2000-09-20,1445.72,1104000000.0
3830,2000-09-21,1444.5349999999999,1105400000.0
4168,2000-09-22,1435.4650000000001,1185500000.0
3832,2000-09-25,1446.67505,982400000.0
3833,2000-09-26,1436.645,1106600000.0
3834,2000-09-27,1428.32995,1174700000.0
3835,2000-09-28,1443.73495,1206200000.0
4179,2000-09-29,1447.29,1197100000.0
2974,2000-10-02,1437.715,1051200000.0
3633,2000-10-03,1440.04995,1098100000.0
226,2000-10-04,1428.15005,1167400000.0
227,2000-10-05,1437.9850000000001,1176100000.0
2921,2000-10-06,1420.18005,1150100000.0
224,2000-10-09,1401.08495,716600000.0
557,2000-10-10,1396.34,1044000000.0
556,2000-10-11,1368.345,1387500000.0
555,2000-10-12,1351.4951,1388600000.0
3143,2000-10-13,1350.625,1223900000.0
559,2000-10-16,1372.27005,1005400000.0
558,2000-10-17,1361.665,1161500000.0
3188,2000-10-18,1331.22,1441700000.0
561,2000-10-19,1366.03005,1297900000.0
3920,2000-10-20,1395.32995,1177400000.0
861,2000-10-23,1397.355,1046800000.0
454,2000-10-24,1401.8850000000002,1158600000.0
860,2000-10-25,1380.17,1315600000.0
3419,2000-10-26,1355.26505,1303800000.0
858,2000-10-27,1374.34995,1086300000.0
1185,2000-10-30,1391.61,1186500000.0
1184,2000-10-31,1415.44,1366400000.0
4370,2000-11-01,1420.025,1206800000.0
2327,2000-11-02,1427.31,1167700000.0
2326,2000-11-03,1427.065,997700000.0
2324,2000-11-06,1433.0900000000001,930900000.0
2323,2000-11-07,1429.74,880900000.0
2331,2000-11-08,1423.03,909300000.0
2894,2000-11-09,1389.4800500000001,1111000000.0
1984,2000-11-10,1383.055,962500000.0
1986,2000-11-13,1347.3,1129300000.0
1987,2000-11-14,1370.66005,1118800000.0
1988,2000-11-15,1385.355,1066800000.0
1989,2000-11-16,1382.575,956300000.0
1990,2000-11-17,1370.1999999999998,1070400000.0
2968,2000-11-20,1354.6950000000002,955800000.0
2967,2000-11-21,1344.745,1137100000.0
2969,2000-11-22,1334.62,963200000.0
2970,2000-11-24,1333.0949999999998,404870000.0
2971,2000-11-27,1352.135,946100000.0
2966,2000-11-28,1346.89005,1028200000.0
2965,2000-11-29,1340.83,402100000.0
2679,2000-11-30,1318.4050000000002,1186530000.0
1618,2000-12-01,1320.845,1195200000.0
1274,2000-12-04,1321.14505,1103000000.0
1347,2000-12-05,1350.76505,900300000.0
1302,2000-12-06,1361.345,1399300000.0
331,2000-12-07,1346.38,1128000000.0
740,2000-12-08,1361.94,1358300000.0
1967,2000-12-11,1376.595,1202400000.0
1969,2000-12-12,1375.27,1083400000.0
1968,2000-12-13,1372.14995,1195100000.0
4598,2000-12-14,1350.2350000000001,1061300000.0
2322,2000-12-15,1323.15505,1561100000.0
1973,2000-12-18,1322.23495,1189900000.0
1972,2000-12-19,1325.81995,1324900000.0
2112,2000-12-20,1283.38,1421600000.0
2126,2000-12-21,1269.69,1449900000.0
3526,2000-12-22,1290.415,1087100000.0
4368,2000-12-26,1308.78995,806500000.0
1876,2000-12-27,1321.495,1092700000.0
955,2000-12-28,1330.8550500000001,1015300000.0
956,2000-12-29,1328.8049999999998,1035500000.0
3187,2001-01-02,1298.165,1129400000.0
4203,2001-01-03,1311.19,1880700000.0
3282,2001-01-04,1339.69,2131000000.0
1440,2001-01-05,1314.8600000000001,1430800000.0
3343,2001-01-08,1287.32,1115500000.0
3323,2001-01-09,1303.43,1191300000.0
2137,2001-01-10,1300.52,1296500000.0
2143,2001-01-11,1320.95495,1411200000.0
1137,2001-01-12,1322.4,1276000000.0
2128,2001-01-16,1320.5700499999998,1205700000.0
2131,2001-01-17,1336.165,1349100000.0
1129,2001-01-18,1340.06,1445000000.0
1130,2001-01-19,1345.645,1407800000.0
2146,2001-01-22,1343.73,1164000000.0
2145,2001-01-23,1351.265,1232600000.0
2505,2001-01-24,1363.5149999999999,1309000000.0
3141,2001-01-25,1360.99,1258000000.0
2144,2001-01-26,1350.13,1098000000.0
2151,2001-01-29,1357.9499999999998,1053100000.0
1349,2001-01-30,1365.9400500000002,1149800000.0
1351,2001-01-31,1374.0149999999999,1295300000.0
893,2001-02-01,1366.42,1118800000.0
2353,2001-02-02,1362.5500000000002,1048400000.0
2723,2001-02-05,1349.52005,1013000000.0
886,2001-02-06,1356.795,1059600000.0
607,2001-02-07,1343.26,1158300000.0
1779,2001-02-08,1341.36995,1107200000.0
1960,2001-02-09,1321.255,1075500000.0
2525,2001-02-12,1322.3000000000002,1039100000.0
1714,2001-02-13,1327.065,1075200000.0
1291,2001-02-14,1312.725,1150300000.0
2598,2001-02-15,1323.605,1153700000.0
1439,2001-02-16,1309.89505,1257200000.0
3070,2001-02-20,1292.79995,1112200000.0
168,2001-02-21,1268.065,1208500000.0
1304,2001-02-22,1244.1349500000001,1365900000.0
1753,2001-02-23,1234.1299,1231300000.0
674,2001-02-26,1254.6999500000002,1130800000.0
166,2001-02-27,1262.51,1114100000.0
302,2001-02-28,1246.56,1225300000.0
1441,2001-03-01,1227.9299999999998,1294900000.0
4180,2001-03-02,1235.375,1294000000.0
2261,2001-03-05,1238.295,929200000.0
4118,2001-03-06,1254.415,1091800000.0
3815,2001-03-07,1258.83,1132200000.0
3807,2001-03-08,1262.05,1114100000.0
4060,2001-03-09,1246.58,1085900000.0
2123,2001-03-12,1205.1,1229000000.0
3500,2001-03-13,1184.665,1360900000.0
