File already exists. Loading data from CSV
step:1 , train_acc:0.304688, train_acc_s:0.523438, test_acc:0.398438, test_acc_s:0.515625
step:11 , train_acc:0.359375, train_acc_s:0.500000, test_acc:0.406250, test_acc_s:0.585938
step:21 , train_acc:0.382812, train_acc_s:0.601562, test_acc:0.445312, test_acc_s:0.625000
step:31 , train_acc:0.320312, train_acc_s:0.601562, test_acc:0.398438, test_acc_s:0.695312
step:41 , train_acc:0.406250, train_acc_s:0.609375, test_acc:0.429688, test_acc_s:0.671875
step:51 , train_acc:0.328125, train_acc_s:0.546875, test_acc:0.492188, test_acc_s:0.585938
step:61 , train_acc:0.421875, train_acc_s:0.562500, test_acc:0.429688, test_acc_s:0.679688
step:71 , train_acc:0.406250, train_acc_s:0.585938, test_acc:0.507812, test_acc_s:0.687500
step:81 , train_acc:0.398438, train_acc_s:0.664062, test_acc:0.437500, test_acc_s:0.710938
step:91 , train_acc:0.382812, train_acc_s:0.617188, test_acc:0.484375, test_acc_s:0.601562
step:101 , train_acc:0.429688, train_acc_s:0.679688, test_acc:0.515625, test_acc_s:0.742188
step:111 , train_acc:0.421875, train_acc_s:0.648438, test_acc:0.539062, test_acc_s:0.718750
step:121 , train_acc:0.445312, train_acc_s:0.656250, test_acc:0.585938, test_acc_s:0.726562
step:131 , train_acc:0.492188, train_acc_s:0.664062, test_acc:0.515625, test_acc_s:0.679688
step:141 , train_acc:0.421875, train_acc_s:0.710938, test_acc:0.492188, test_acc_s:0.656250
step:151 , train_acc:0.539062, train_acc_s:0.695312, test_acc:0.617188, test_acc_s:0.757812
step:161 , train_acc:0.429688, train_acc_s:0.617188, test_acc:0.437500, test_acc_s:0.765625
step:171 , train_acc:0.515625, train_acc_s:0.640625, test_acc:0.554688, test_acc_s:0.773438
step:181 , train_acc:0.578125, train_acc_s:0.742188, test_acc:0.562500, test_acc_s:0.757812
step:191 , train_acc:0.484375, train_acc_s:0.695312, test_acc:0.484375, test_acc_s:0.640625
step:201 , train_acc:0.562500, train_acc_s:0.765625, test_acc:0.593750, test_acc_s:0.812500
step:211 , train_acc:0.562500, train_acc_s:0.750000, test_acc:0.539062, test_acc_s:0.781250
step:221 , train_acc:0.507812, train_acc_s:0.703125, test_acc:0.539062, test_acc_s:0.820312
step:231 , train_acc:0.546875, train_acc_s:0.757812, test_acc:0.484375, test_acc_s:0.796875
step:241 , train_acc:0.515625, train_acc_s:0.718750, test_acc:0.625000, test_acc_s:0.757812
step:251 , train_acc:0.585938, train_acc_s:0.734375, test_acc:0.468750, test_acc_s:0.750000
step:261 , train_acc:0.421875, train_acc_s:0.679688, test_acc:0.500000, test_acc_s:0.710938
step:271 , train_acc:0.578125, train_acc_s:0.765625, test_acc:0.562500, test_acc_s:0.750000
step:281 , train_acc:0.562500, train_acc_s:0.726562, test_acc:0.601562, test_acc_s:0.789062
